node,eth0,eth1,eth2,eth3,eth4
0,172.31.5.126,172.31.13.54,,,
1,172.31.0.224,172.31.7.237,,,
2,172.31.38.3,172.31.34.180,172.31.43.1,172.31.42.109,
3,172.31.13.224,172.31.3.101,172.31.4.61,172.31.2.101,172.31.10.98
4,172.31.1.112,172.31.13.9,172.31.8.144,172.31.4.37,
5,172.31.54.49,172.31.59.12,172.31.62.170,,
6,172.31.53.230,172.31.48.89,172.31.57.125,172.31.50.155,
7,172.31.57.253,172.31.62.62,172.31.61.151,172.31.50.147,172.31.63.105
8,172.31.38.84,172.31.44.153,,,
9,172.31.2.208,172.31.10.71,172.31.5.69,172.31.6.16,
10,172.31.16.138,172.31.16.231,172.31.21.95,172.31.20.142,
11,172.31.9.244,172.31.14.97,,,
12,172.31.5.5,172.31.13.213,172.31.2.23,,
